Ntrain	Dimsum2	SP2	Dimsum5	SP5	Dimsum10	SP10	Dimsum15	SP15	Dimsum20	SP20	Dimsum25	SP25	Smooth2	Smooth5	Smooth10	Smooth15	Smooth20	Smooth25
100	2.076518984	0.0002	2.957221529	0.033	2.852201239	0.0002	3.529015613	0.0746	3.08441088	0	3.323017449	0	0.0001	0.007566667	0.0008	0.024066667	0.0028	0.014466667
101	2.076287711	0.0002	2.955324421	0	2.85030296	0.0034	3.529263563	0	3.117821657	0.0056	3.335552736	0.0214	0.000133333	0.007566667	0.001333333	0.019333333	0.003733333	0.007
102	2.076303855	0	2.956578035	0	2.852394046	0.0014	3.627552562	0.059	3.11582907	0	3.334878127	0.005	0.000133333	0.007566667	0.001533333	0.029066667	0.0029	0.0067
103	2.075294531	0	2.961740168	0.0008	2.851275293	0	3.62845874	0	3.120497516	0.0528	3.328572097	0.01	0.000133333	0.007366667	0.000866667	0.0287	0.0111	0.008333333
104	2.07255204	0	2.953561525	0	2.817638668	0.0384	3.620491248	0.0004	3.122811947	0.0006	3.32190326	0.0006	0.000133333	0.007366667	0.007233333	0.028666667	0.0103	0.008433333
105	2.071322619	0	2.975884468	0.0002	2.820077906	0	3.615108664	0.0004	3.11572079	0	3.317734382	0.1072	6.66667E-05	0.005666667	0.007233333	0.0224	0.009833333	0.024033333
106	2.069611573	0	2.976051576	0	2.889609432	0.005	3.596682839	0.0648	3.109613257	0.001	3.321941667	0.005	3.33333E-05	0.000166667	0.008033333	0.020766667	0.01	0.024866667
107	2.065570168	0.0008	2.975940576	0.0002	2.883939827	0.012	3.588274202	0.099	3.115548913	0.0182	3.336869488	0.0128	0.000133333	0.0002	0.009466667	0.037266667	0.0121	0.023433333
108	2.258405347	0	2.97729202	0	2.885340217	0.0002	3.533728388	0.0478	3.117648829	0	3.338921467	0.0034	0.000133333	0.0002	0.009266667	0.0354	0.0121	0.023166667
109	2.065634088	0	2.987134318	0.0548	2.900050265	0.0002	3.534265584	0	3.093069248	0.0022	3.334902142	0	0.000133333	0.0092	0.0093	0.0354	0.003666667	0.0215
